side,nerve,segment,function,muscle,rank,segID,id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position,preferred_pool
R,Leg,coxa,flex,trochanter_promotor,0,648518346512131374,402,t,L3_T1R,trochanter_promotor_in_coxa,73749400178299722,648518346512131374,[49394 89755  2660],
R,Leg,femur,extend,tibia_extensor,seti,648518346489643212,403,t,L4_T1R,tibia_extensor_in_femur_seti,73819700270016761,648518346489643212,[52001 86333  2743],
R,Leg,femur,extend,tibia_extensor,feti,648518346480242902,404,t,L4_T1R,tibia_extensor_in_femur_feti,73678893659489454,648518346480242902,[48538 84219  1962],
R,Leg,coxa,extend,trochanter_extensor,Lg,648518346493661944,405,t,L4_T1R,trochanter_extensor_in_coxa_Lg,73819700135819297,648518346493661944,[52767 86951  2487],
R,Leg,coxa,extend,trochanter_extensor,Lg,648518346489611133,406,t,L5_T1R,trochanter_extensor_in_coxa_Lg,74101930624079446,648518346489611133,[ 60830 108620   1721],
R,Ventral,coxa,flex,trochanter_flexor,Vn,648518346503919200,407,t,V1_T1R,trochanter_flexor_in_coxa_Vn,73960506276574569,648518346503919200,[55830 89982  2400],
R,Ventral,coxa,flex,trochanter_flexor,Vn,648518346494836658,408,t,V1_T1R,trochanter_flexor_in_coxa_Vn,73889999959270933,648518346494836658,[54616 85905  2127],
R,Ventral,coxa,flex,trochanter_flexor,Vn,648518346471677083,409,t,V1_T1R,trochanter_flexor_in_coxa_Vn,73890206251737467,648518346471677083,[54536 90225  2333],
R,Ventral,thorax,extend,tergotrochanter,0,648518346483548053,410,t,V3_T1R,tergotrochanter_in_thorax_0,73889999757696699,648518346483548053,[54174 85748  1791],
R,Ventral,thorax,extend,tergotrochanter,1,648518346494836914,411,t,V2_T1R,tergotrochanter_in_thorax_1,73960506075251475,648518346494836914,[57339 88452  1999],
R,Ventral,thorax,extend,tergotrochanter,2,648518346517360452,412,t,V2_T1R,tergotrochanter_in_thorax_2,73749468427814896,648518346517360452,[51167 90285  1680],
R,Ventral,thorax,extend,tergotrochanter,3,648518346499763923,413,t,V3_T1R,tergotrochanter_in_thorax_3,73749262538016575,648518346499763923,[49727 85190  2264],
